,status_cat,age_norm,age_bin_cat,education_cat,profession_cat,device_cat,account_balance_norm,loan_cat,mortgage_cat,credit_cat,positive_cat,consent_cat,n_contact_min_max,l_month_cat,l_call_duration,l_call_duration_min_max,p_outcome_cat,n_p_contact_min_max,p_days_min_max,p_campign_cat,subscribed_cat
0,1,-0.8378475139055388,2,1,7,0,-0.22341745156717507,0,1,0,1,0,0.016129032258064516,3,175,0.03908721192950746,0,0.0036363636363636364,0.2857142857142857,1,0
1,1,0.3896231965390031,3,2,5,0,-0.22341745156717507,0,1,0,1,0,0.0,5,322,0.07230004518752825,1,0.0,0.0,0,0
2,1,1.2394106114621475,4,2,9,1,0.5619022255576719,0,1,0,1,0,0.0,9,67,0.014685946678716675,1,0.0,0.0,0,0
3,1,-1.0266891616662375,1,2,2,0,-0.22341745156717507,1,1,0,1,0,0.0,6,45,0.009715318572074107,1,0.0,0.0,0,0
4,1,-0.08248092286274376,2,1,3,0,-1.0087371286920221,1,1,1,0,0,0.016129032258064516,6,39,0.008359692724807953,1,0.0,0.0,0,0
5,1,-0.17690174674309314,2,0,2,0,-0.22341745156717507,1,1,0,1,0,0.016129032258064516,8,77,0.01694532309082693,1,0.0,0.0,0,0
6,1,0.86172731594075,3,2,9,0,-0.22341745156717507,0,0,0,1,0,0.08064516129032258,5,76,0.016719385449615907,1,0.0,0.0,0,0
7,1,-0.9322683377858881,2,2,2,1,-0.22341745156717507,0,1,0,1,0,0.04838709677419355,8,28,0.00587437867148667,1,0.0,0.0,0,0
8,1,0.3896231965390031,3,2,8,0,0.5619022255576719,1,1,0,1,0,0.0967741935483871,6,284,0.06371441482150927,1,0.0,0.0,0,0
9,1,1.617093906983545,4,0,2,0,-0.22341745156717507,0,0,0,1,0,0.03225806451612903,6,70,0.015363759602349751,1,0.0,0.0,0,0
10,2,-0.9322683377858881,2,0,2,0,-0.22341745156717507,0,1,0,1,0,0.016129032258064516,8,162,0.036150022593764125,1,0.0,0.0,0,0
11,2,0.29520237265865373,3,2,8,0,-0.22341745156717507,0,1,0,1,0,0.016129032258064516,8,233,0.052191595119746956,1,0.0,0.0,0,0
12,1,0.4840440204193525,3,2,5,0,-0.22341745156717507,0,0,0,1,0,0.12903225806451613,3,7,0.001129688206055129,2,0.0036363636363636364,0.0,1,0
13,0,-0.9322683377858881,2,1,3,0,-0.22341745156717507,0,0,0,1,0,0.016129032258064516,1,32,0.006778129236330773,1,0.0,0.0,0,0
14,2,-0.5545850422644907,2,2,5,0,-0.22341745156717507,0,1,0,1,0,0.03225806451612903,6,101,0.02236782647989155,1,0.0,0.0,0,0
15,1,0.011939901017605612,3,1,5,0,-0.22341745156717507,0,0,0,1,1,0.03225806451612903,1,176,0.039313149570718485,1,0.0,0.0,0,1
16,0,1.617093906983545,4,2,1,0,-0.22341745156717507,0,0,0,1,1,0.016129032258064516,5,432,0.09715318572074108,1,0.0,0.0,0,1
17,1,-0.17690174674309314,2,0,2,0,-0.22341745156717507,0,1,0,1,0,0.016129032258064516,0,7,0.001129688206055129,2,0.0036363636363636364,0.3571428571428571,1,0
18,2,-0.9322683377858881,2,2,5,0,-0.22341745156717507,0,1,0,1,0,0.016129032258064516,1,223,0.0499322187076367,1,0.0,0.0,0,0
19,1,0.4840440204193525,3,0,8,1,0.5619022255576719,0,1,0,1,1,0.0,11,169,0.03773158608224131,1,0.0,0.0,0,1
20,1,0.011939901017605612,3,1,3,1,-0.22341745156717507,0,1,0,1,0,0.016129032258064516,9,56,0.012200632625395391,1,0.0,0.0,0,0
22,1,1.805935554744244,4,2,0,1,0.5619022255576719,0,0,0,1,0,0.016129032258064516,5,103,0.022819701762313602,1,0.0,0.0,0,0
23,1,0.5784648442997019,3,1,4,0,-1.0087371286920221,0,1,0,0,0,0.016129032258064516,8,160,0.03569814731134208,1,0.0,0.0,0,0
24,1,-0.4601642183841413,2,0,2,0,-1.0087371286920221,1,1,0,0,0,0.0,8,624,0.14053321283325804,1,0.0,0.0,0,0
25,0,-0.64900586614484,2,1,7,0,-0.22341745156717507,0,0,0,1,0,0.08064516129032258,9,346,0.07772254857659287,1,0.0,0.0,0,0
26,2,-1.2155308094269364,1,2,2,0,-0.22341745156717507,0,1,0,1,0,0.0,8,186,0.04157252598282874,1,0.0,0.0,0,0
27,0,-0.4601642183841413,2,1,5,0,-0.22341745156717507,0,0,0,1,0,0.016129032258064516,8,487,0.1095797559873475,1,0.0,0.0,0,0
28,2,-0.8378475139055388,2,1,5,0,-0.22341745156717507,0,1,0,1,1,0.04838709677419355,8,556,0.12516945323090828,1,0.0,0.0,0,1
29,1,-1.0266891616662375,1,1,4,0,-0.22341745156717507,0,0,0,1,0,0.08064516129032258,1,70,0.015363759602349751,1,0.0,0.0,0,0
30,1,0.6728856681800512,3,1,3,0,-0.22341745156717507,0,0,0,1,0,0.016129032258064516,1,96,0.021238138273836422,1,0.0,0.0,0,0
31,2,-0.5545850422644907,2,2,3,0,-0.22341745156717507,0,1,0,1,0,0.06451612903225806,8,8,0.0013556258472661546,0,0.04363636363636364,0.14285714285714285,1,0
32,1,-0.3657433945037919,2,1,3,0,0.5619022255576719,0,0,0,1,0,0.0967741935483871,1,185,0.04134658834161772,1,0.0,0.0,0,0
33,1,0.4840440204193525,3,1,4,0,-0.22341745156717507,1,1,0,1,0,0.0,9,261,0.058517849073655676,1,0.0,0.0,0,0
34,2,-0.64900586614484,2,2,9,0,0.5619022255576719,0,0,0,1,0,0.11290322580645161,8,22,0.004518752824220515,0,0.04727272727272727,0.3571428571428571,1,0
35,1,-0.8378475139055388,2,0,2,0,-0.22341745156717507,0,1,0,1,0,0.016129032258064516,3,567,0.12765476728422956,0,0.007272727272727273,0.2857142857142857,1,0
36,1,-0.17690174674309314,2,2,2,0,-0.22341745156717507,0,1,0,1,0,0.0,8,196,0.043831902394939004,1,0.0,0.0,0,0
37,1,0.5784648442997019,3,2,1,1,-0.22341745156717507,0,1,0,1,0,0.016129032258064516,8,20,0.004066877541798464,1,0.0,0.0,0,0
38,0,0.10636072489795499,3,1,3,0,-0.22341745156717507,0,0,0,1,0,0.0,6,407,0.09150474469046543,0,0.0036363636363636364,0.21428571428571427,1,0
39,1,1.805935554744244,4,0,0,0,-0.22341745156717507,0,0,0,1,0,0.0967741935483871,1,106,0.02349751468594668,1,0.0,0.0,0,0
40,0,0.4840440204193525,3,0,2,1,0.5619022255576719,0,0,0,1,0,0.08064516129032258,6,49,0.010619069136918211,1,0.0,0.0,0,0
41,1,-0.7434266900251895,2,2,5,0,-0.22341745156717507,0,1,0,1,0,0.04838709677419355,7,237,0.05309534568459106,1,0.0,0.0,0,0
42,1,-0.8378475139055388,2,0,6,0,-0.22341745156717507,0,1,0,1,0,0.0,8,521,0.11726163578852238,1,0.0,0.0,0,0
43,0,1.2394106114621475,4,2,5,0,-0.22341745156717507,0,1,0,1,0,0.016129032258064516,8,345,0.07749661093538183,1,0.0,0.0,0,0
44,1,-1.121109985546587,1,2,5,0,-0.22341745156717507,0,1,0,1,0,0.0,8,120,0.02666064166290104,1,0.0,0.0,0,0
45,1,0.011939901017605612,3,2,5,0,-0.22341745156717507,0,0,0,1,0,0.016129032258064516,6,156,0.03479439674649797,1,0.0,0.0,0,0
46,1,0.3896231965390031,3,2,2,0,-0.22341745156717507,0,1,0,1,0,0.016129032258064516,9,354,0.07953004970628107,0,0.007272727272727273,0.14285714285714285,1,0
47,2,1.5226730831031956,4,2,0,1,-0.22341745156717507,0,0,0,1,0,0.0,6,250,0.056032535020334395,1,0.0,0.0,0,0
48,1,-1.4987932810679845,1,1,7,0,-0.22341745156717507,0,1,0,1,0,0.016129032258064516,8,129,0.02869408043380027,1,0.0,0.0,0,0
49,1,0.29520237265865373,3,1,2,0,-0.22341745156717507,0,1,0,1,0,0.0,8,630,0.14188883868052418,1,0.0,0.0,0,0
50,2,-1.404372457187635,1,1,9,0,-0.22341745156717507,0,1,0,1,0,0.0,8,75,0.01649344780840488,0,0.0036363636363636364,0.0,1,0
51,2,-0.64900586614484,2,2,5,0,-0.22341745156717507,0,0,0,1,0,0.0,1,367,0.08246723904202441,1,0.0,0.0,0,0
52,2,-0.7434266900251895,2,1,3,0,-0.22341745156717507,0,1,0,1,0,0.0,9,259,0.05806597379123363,2,0.014545454545454545,0.21428571428571427,1,0
53,1,-1.0266891616662375,1,2,8,0,-0.22341745156717507,0,1,0,1,0,0.016129032258064516,5,171,0.03818346136466336,1,0.0,0.0,0,0
54,1,0.4840440204193525,3,2,9,0,-0.22341745156717507,0,1,0,1,0,0.03225806451612903,8,28,0.00587437867148667,1,0.0,0.0,0,0
55,1,0.10636072489795499,3,2,7,0,-0.22341745156717507,0,0,0,1,0,0.016129032258064516,4,268,0.06009941256213286,1,0.0,0.0,0,0
56,1,-0.8378475139055388,2,1,3,0,0.5619022255576719,0,0,0,1,0,0.016129032258064516,4,115,0.02553095345684591,0,0.025454545454545455,0.14285714285714285,1,0
57,0,0.4840440204193525,3,1,3,0,-0.22341745156717507,0,0,0,1,1,0.016129032258064516,5,224,0.050158156348847724,1,0.0,0.0,0,1
58,2,-1.2155308094269364,1,2,5,0,-0.22341745156717507,0,0,0,1,0,0.03225806451612903,6,390,0.087663804789878,3,0.0036363636363636364,0.07142857142857142,1,0
59,0,-1.0266891616662375,1,2,9,0,-0.22341745156717507,0,1,0,1,1,0.22580645161290325,6,474,0.10664256665160417,1,0.0,0.0,0,1
60,1,-0.7434266900251895,2,2,2,0,-0.22341745156717507,1,1,0,1,0,0.0,8,131,0.029145955716222322,1,0.0,0.0,0,0
61,1,-0.9322683377858881,2,2,3,1,-0.22341745156717507,0,0,0,1,0,0.0,9,56,0.012200632625395391,1,0.0,0.0,0,0
62,1,-0.08248092286274376,2,2,2,0,-0.22341745156717507,0,1,0,1,0,0.0,8,371,0.0833709896068685,1,0.0,0.0,0,0
63,1,4.921822742795773,7,0,0,0,-0.22341745156717507,0,0,0,1,1,0.016129032258064516,5,776,0.17487573429733394,3,0.025454545454545455,0.21428571428571427,1,1
64,1,0.4840440204193525,3,2,5,0,-0.22341745156717507,0,0,0,1,1,0.0,8,718,0.16177135110709445,1,0.0,0.0,0,1
65,1,1.2394106114621475,4,0,3,0,-0.22341745156717507,0,0,0,1,0,0.1774193548387097,1,588,0.1323994577496611,1,0.0,0.0,0,0
66,1,-0.9322683377858881,2,1,3,0,-0.22341745156717507,0,0,0,1,0,0.016129032258064516,1,134,0.029823768639855402,1,0.0,0.0,0,0
67,2,0.011939901017605612,3,1,2,0,1.347221902682519,0,0,0,1,0,0.08064516129032258,6,29,0.006100316312697696,1,0.0,0.0,0,0
68,2,0.5784648442997019,3,2,9,0,-0.22341745156717507,0,0,0,1,0,0.0,3,66,0.014460009037505649,0,0.014545454545454545,0.2857142857142857,1,0
69,1,0.4840440204193525,3,1,3,0,-0.22341745156717507,0,1,0,1,0,0.03225806451612903,6,589,0.13262539539087212,1,0.0,0.0,0,0
70,1,0.5784648442997019,3,2,5,0,-0.22341745156717507,0,1,0,1,0,0.0,0,75,0.01649344780840488,0,0.0036363636363636364,0.14285714285714285,1,0
71,1,0.29520237265865373,3,2,5,0,-0.22341745156717507,0,0,0,1,0,0.0,6,72,0.015815634884771803,1,0.0,0.0,0,0
72,1,-1.0266891616662375,1,1,3,0,-0.22341745156717507,0,0,0,1,0,0.0,1,184,0.04112065070040669,0,0.01818181818181818,0.07142857142857142,1,0
74,2,0.3896231965390031,3,1,5,0,-0.22341745156717507,0,0,0,1,0,0.04838709677419355,5,149,0.03321283325802079,1,0.0,0.0,0,0
75,2,-1.0266891616662375,1,2,2,0,-0.22341745156717507,0,1,0,1,0,0.016129032258064516,8,7,0.001129688206055129,1,0.0,0.0,0,0
76,1,1.805935554744244,4,2,0,0,-0.22341745156717507,0,0,0,1,0,0.016129032258064516,0,142,0.03163126976954361,1,0.0,0.0,0,0
78,2,-0.5545850422644907,2,1,7,0,-0.22341745156717507,0,1,0,1,0,0.016129032258064516,8,235,0.052643470402169004,1,0.0,0.0,0,0
79,2,-1.121109985546587,1,1,3,0,-0.22341745156717507,0,1,0,1,0,0.0,8,286,0.06416629010393132,1,0.0,0.0,0,0
80,1,0.10636072489795499,3,1,7,0,2.9178612569322127,0,0,0,1,0,0.0,0,94,0.02078626299141437,1,0.0,0.0,0,0
81,1,1.0505689637014488,4,1,3,0,-0.22341745156717507,1,1,0,1,0,0.016129032258064516,9,204,0.045639403524627205,0,0.0036363636363636364,0.21428571428571427,1,0
82,2,-1.2155308094269364,1,2,8,0,-0.22341745156717507,0,1,0,1,0,0.016129032258064516,3,123,0.027338454586534118,3,0.0036363636363636364,0.21428571428571427,1,0
83,1,-0.4601642183841413,2,2,5,0,0.5619022255576719,0,1,0,1,0,0.0,5,356,0.07998192498870313,1,0.0,0.0,0,0
84,1,-0.8378475139055388,2,1,3,0,-0.22341745156717507,0,1,0,1,0,0.04838709677419355,1,277,0.06213285133303209,1,0.0,0.0,0,0
85,0,0.3896231965390031,3,2,9,0,0.5619022255576719,0,1,0,1,1,0.0,7,166,0.03705377315860823,2,0.007272727272727273,0.07142857142857142,1,1
86,1,-0.3657433945037919,2,0,2,0,1.347221902682519,0,1,0,1,0,0.03225806451612903,6,35,0.00745594215996385,1,0.0,0.0,0,0
